0.243,-1.124268,0.2280273,-0.06494141,4.804283,0,-25.32959,-13.06152,-15.19775,3.151779,-17.59766,2.460938,0.1796875,-216.75,-49.25,-129.375,0.5687135,0.5811009,-0.4266037,0.3964956,-18.96053,-15.12789,11.96977
0.273,-1.059082,0.04272461,-0.140625,5.063015,0,7.751465,-14.89258,-19.04297,3.151855,-17.71094,3.191406,-2.328125,-214,-45,-132,0.5707397,0.5807495,-0.4285278,0.3916016,-19.26565,-15.45481,12.07028
0.303,-0.8269043,-0.4389648,-0.1469727,5.316774,0,17.51709,-23.07129,-37.23145,3.151855,-16.03906,-3.035156,-1.996094,-214,-43.625,-131.5625,0.5707016,0.5854607,-0.426796,0.3841941,-20.16994,-16.47592,12.29023
0.333,-0.9182129,-0.4262695,0.03735352,6.61232,0,-9.70459,-33.44727,-48.03467,3.151855,-12.81641,-7.972656,-0.921875,-214,-43,-130,0.5704346,0.5960693,-0.4219971,0.3756714,-21.66095,-18.11079,12.69768
0.364,-0.9023438,-0.7890625,0.1384277,10.05657,0,-22.58301,-53.52783,-41.87012,3.151936,-14.48828,-10.30469,0.7578125,-214.9944,-43.53389,-130,0.5718512,0.6027437,-0.4238416,0.3601714,-23.18683,-19.89287,12.90854
0.393,-0.6789551,-1.015381,0.2890625,15.1309,64.44518,-43.02979,-67.62695,-30.0293,3.1521,-12.67969,-14.19922,3.015625,-217,-45,-130,0.5747681,0.6082764,-0.428833,0.3400269,-24.94223,-21.90404,13.15587
0.423,-0.5466309,-1.129395,0.4257813,21.29293,108.3606,-79.77295,-83.31299,-12.3291,3.1521,-9.566406,-17.68359,5.96875,-219.9,-49.30357,-128.4375,0.5784488,0.6069031,-0.441424,0.3164991,-26.27507,-23.53259,13.09136
0.453,-0.4875488,-1.058105,0.4489746,24.80503,139.595,-111.5723,-92.5293,16.35742,3.1521,-8.304688,-17.65234,7.152344,-224,-57,-125,0.583374,0.6014404,-0.4631958,0.2886963,-27.40903,-25.05592,12.64602
0.483,-0.4694824,-0.9848633,0.3122559,27.91068,149.7947,-136.2915,-92.40723,41.87012,3.1521,-7.652344,-16.72266,5.683594,-225.3726,-56.76209,-118.5444,0.5890336,0.5880429,-0.4885774,0.2624518,-27.87877,-25.81632,12.08035
0.514,-0.4707031,-0.8632813,0.237793,30.67636,137.8739,-152.8931,-92.34619,56.57959,3.1521,-7.28125,-15.07813,4.558594,-226,-55,-108,0.5959473,0.5635376,-0.5215454,0.2349243,-27.56711,-25.79535,11.16374
0.544,-0.473877,-0.7888184,0.2416992,33.92973,118.3209,-160.2783,-87.64648,67.62695,3.1521,-7.410156,-12.80078,3.230469,-228.0404,-55,-103.5402,0.6025266,0.5370793,-0.5520791,0.2084689,-27.1968,-25.64679,10.37695
0.574,-0.5869141,-0.6523438,0.3300781,36.01891,97.98418,-171.814,-81.90918,64.20898,3.1521,-8.347656,-12.03516,5.21875,-231,-55,-101,0.609375,0.5046387,-0.5838623,0.1820068,-26.45817,-25.11835,9.479254
0.604,-0.7158203,-0.5458984,0.3044434,35.01345,74.37598,-171.814,-68.66455,57.49512,3.151947,-10.44141,-9.089844,4.875,-230.375,-48.4375,-96.40809,0.6170807,0.4724245,-0.6097646,0.1556168,-25.89713,-24.62986,9.078155
0.634,-1.124756,-0.2885742,0.1875,32.71045,37.18601,-152.1606,-38.14697,46.32568,3.151611,-12.73828,-7.714844,3.699219,-228,-34,-91,0.6254883,0.4382935,-0.6324463,0.1292725,-25.2492,-23.97788,8.914312
0.664,-1.148926,-0.2858887,0.1437988,28.07597,-16.82402,-104.0039,-26.67236,26.61133,3.151464,-19.51172,-0.9726563,4.324219,-229.0625,-29.83333,-84.1875,0.6327344,0.4146698,-0.6445295,0.1129813,-24.64769,-23.28231,9.051264
0.694,-1.113525,-0.1801758,0.05395508,24.0912,-71.73759,-53.03955,10.31494,21.85059,3.151367,-18.27734,-4.070313,-0.2382813,-232,-28,-76,0.6394653,0.3964844,-0.6507568,0.1020508,-24.05106,-22.52543,9.361246
0.724,-1.009521,-0.2199707,0.1044922,20.65314,-108.7906,-15.93018,14.89258,17.33398,3.151159,-17.44141,-2.714844,0.171875,-231,-22.875,-70.03846,0.6438035,0.3870727,-0.6511648,0.1023865,-23.24834,-21.60318,9.457004
0.754,-0.9880371,-0.2060547,0.1279297,19.13373,-113.8622,-6.286621,3.540039,14.83154,3.150879,-16.29297,-3.023438,1.839844,-228,-16,-65,0.6467285,0.3828125,-0.6513062,0.1047363,-22.68329,-20.97614,9.451136
0.784,-0.9038086,-0.3164063,0.08984375,17.71293,-100.2404,7.446289,-0.1220703,12.39014,3.150546,-15.02734,-3.769531,1.800781,-228.375,-16.125,-61.46691,0.6465759,0.3809498,-0.6519785,0.1073187,-22.31956,-20.66426,9.209449
0.814,-0.8322754,-0.432373,0.03710938,16.48318,-74.87448,7.93457,1.586914,9.70459,3.150146,-13.69531,-6.066406,0.953125,-230,-17,-59,0.6455078,0.380188,-0.6530151,0.1109619,-21.95797,-20.40447,8.837849
0.844,-0.8752441,-0.4909668,0.0222168,14.49646,-58.95657,0.4882813,2.075195,7.141113,3.149979,-13.29688,-7.332031,0.4921875,-229.1875,-16.125,-60.8125,0.6457367,0.3788075,-0.6532736,0.1121915,-21.74427,-20.20437,8.741162
0.874,-0.9482422,-0.4628906,0.02539063,12.49708,-53.2589,-12.93945,-0.1831055,6.04248,3.149902,-14.65625,-8.179688,0.2773438,-227,-14,-66,0.6464844,0.3773804,-0.6533813,0.1127319,-21.57893,-20.02528,8.730743
0.904,-0.9580078,-0.3632813,0.0637207,11.34167,-53.89959,-13.5498,-2.807617,5.371094,3.149618,-15.36719,-6.292969,0.5,-227.119,-10.82819,-65.88105,0.6470975,0.3751039,-0.6541505,0.1120857,-21.44551,-19.88767,8.703962
