36.01,-0.9628906,0.08569336,-0.1469727,-21.43194,0,-4.089355,-2.502441,5.92041,872.4002,-15.64453,1.53125,-1.902344,148.9375,-82.9375,21.3125,0.1915627,0.6290045,-0.2830162,0.6982384,9.30464,0,0,0
36.04,-0.970459,0.09667969,-0.1645508,-21.27574,0,-8.666992,-8.850098,7.019043,872.406,-15.40234,1.125,-2.628906,151,-89,23.5,0.190918,0.6293945,-0.2858276,0.6968384,9.445658,0,0,0
36.07,-0.987793,0.1013184,-0.1721191,-21.0694,0,-6.774902,-10.19287,8.605957,872.4055,-15.82422,1.777344,-2.515625,148.6875,-89.72222,22.75,0.1899922,0.6303903,-0.2886909,0.6949939,-9.570139,0,0,0
36.1,-0.9753418,0.09594727,-0.1887207,-20.96711,0,-4.455566,-10.43701,7.385254,872.4028,-15.74219,1.570313,-2.824219,143,-90,20.5,0.1886597,0.632019,-0.2922363,0.6924438,-9.728484,0,0,0
36.13,-0.9916992,0.1032715,-0.1459961,-20.94729,0,-0.9765625,-6.652832,2.563477,872.4044,-15.63672,1.390625,-2.5625,143.4375,-91.83333,18.28125,0.1876699,0.6332853,-0.2933074,0.6910139,-9.767182,0,0,0
36.16,-0.9741211,0.09082031,-0.1550293,-21.03036,2.948139,5.981445,-1.220703,-1.037598,872.4084,-15.66016,1.890625,-2.46875,146,-95,15.5,0.1867676,0.6345215,-0.2937622,0.6900024,-9.778213,0,0,0
36.189,-0.998291,0.09082031,-0.1481934,-21.16886,0.6513874,6.103516,-3.295898,-3.723145,872.4079,-15.48828,1.449219,-2.566406,149.0957,-93.53798,18.43182,0.1860328,0.6357962,-0.2931904,0.6893366,-9.717988,0,0,0
36.22,-1.007568,0.1242676,-0.114502,-21.24249,-1.48199,4.211426,-5.065918,0.793457,872.4053,-16.12891,2.039063,-2.101563,154,-89,26.5,0.1853638,0.637207,-0.2915039,0.6889038,-9.577623,0,0,0
36.249,-1.009033,0.08618164,-0.1049805,-21.22754,-2.227953,2.624512,-5.249023,2.01416,872.4051,-16.25391,1.40625,-1.835938,152.719,-90.40167,24.5182,0.1844121,0.6382582,-0.2912083,0.6883728,-9.569844,0,0,0
36.28,-1.012695,0.09423828,-0.09204102,-21.0749,-1.235254,3.540039,-0.1220703,1.342773,872.405,-16.41797,1.558594,-1.265625,148,-95,17.5,0.1831665,0.6392212,-0.2910767,0.6878052,-9.600573,0,0,0
36.309,-1,0.0847168,-0.1230469,-20.86921,1.053402,0.3051758,1.647949,0.9765625,872.4043,-16.17969,1.269531,-1.523438,144.4015,-94.88709,19.6025,0.1829938,0.6392143,-0.2911226,0.6878052,-9.617236,0,0,0
36.34,-0.9958496,0.1062012,-0.1174316,-20.60105,3.904131,-2.929688,1.403809,1.708984,872.4028,-16.04297,1.453125,-1.871094,140,-94,26.5,0.1829224,0.6391602,-0.2913208,0.6878052,-9.638945,0,0,0
36.369,-0.9868164,0.08862305,-0.1616211,-20.43549,5.849355,-0.2441406,2.258301,2.075195,872.4029,-15.78906,1.808594,-2.351563,140.3991,-93.1797,26.38709,0.1829435,0.6390536,-0.29156,0.6878052,-9.658612,0,0,0
36.4,-0.9953613,0.09057617,-0.1682129,-20.34336,6.272492,-0.2441406,1.037598,0,872.4031,-15.86719,1.402344,-2.738281,143,-92,25.5,0.1830444,0.638855,-0.2919312,0.6878052,-9.685283,0,0,0
