1.251,1.104492,-0.2727051,-0.2001953,21.77888,0,26.55029,-31.98242,-14.34326,875.1093,18.45703,-3.832031,-4.414063,-1.270833,5,-21,0.2515678,0.7465044,-0.06250539,-0.6130812,19.82069
1.281,1.16333,-0.5397949,-0.3151855,23.72461,0,28.07617,-23.92578,-35.7666,875.1121,16.59766,-9.550781,-2.199219,1,5,-21,0.2390747,0.7443848,-0.06524658,-0.6199951,18.78593
1.311,1.131104,-0.9279785,-0.1437988,28.19411,0,20.20264,-44.43359,-54.93164,875.1135,19.01563,-10.48438,-4.292969,-0.875,5.9375,-18.8125,0.2266486,0.740224,-0.06227112,-0.6297708,17.16988
1.341,0.9482422,-0.7590332,-0.05419922,33.96172,0,12.51221,-51.94092,-80.2002,875.1147,17.06641,-10.50781,-4.589844,-6,8,-14,0.2111206,0.7351685,-0.05480957,-0.6418457,14.88975
1.37,1.076416,-0.6174316,-0.1831055,39.62425,0,5.554199,-38.51318,-114.502,875.1145,17.74219,-10.03516,-4.492188,-9.019899,5.829363,-16.2232,0.1938704,0.7303026,-0.04098206,-0.6535093,12.02752
1.401,0.9914551,-0.6433105,-0.1894531,42.81847,151.4624,-10.00977,-36.43799,-125.3052,875.1135,16.86328,-10.52344,-3.210938,-12,8.881784e-16,-23,0.1724243,0.7247925,-0.01708984,-0.6668091,8.011665
1.43,0.8984375,-0.5825195,-0.1743164,44.8432,148.5754,-13.3667,-32.83691,-136.7188,875.113,14.98828,-9.71875,-3.292969,-18.8146,-4.911525,-20.30958,0.1520538,0.718961,0.00586549,-0.6779691,4.227653
1.461,0.8278809,-0.3679199,-0.1174316,46.22549,120.0677,-2.01416,-33.38623,-146.7285,875.1125,13.86719,-7.488281,-2.503906,-30,-11,-12,0.1290283,0.7120972,0.03417969,-0.68927,-0.1890345
1.49,0.7539063,-0.3986816,-0.1657715,47.12438,83.66588,5.554199,-36.92627,-141.3574,875.1116,12.92578,-6.21875,-1.394531,-36.47175,-13.59662,-9.403377,0.1051672,0.704386,0.05694841,-0.6996642,-4.173669
1.521,0.6694336,-0.3503418,-0.08813477,47.06072,48.89004,10.37598,-41.56494,-132.2021,875.1101,11.10547,-6.273438,-1.488281,-42,-15,-8,0.07745361,0.6948853,0.07989502,-0.7104492,-6.823651
