10.921,1.003906,-0.08422852,-0.03320313,15.75951,0,-1.342773,0.6103516,-0.9155273,877.1555,16.03125,-1.21875,-0.4453125
10.952,1,-0.08300781,-0.04443359,15.53368,0,-1.342773,0.9765625,-0.1831055,877.1501,15.99219,-1.308594,-0.6367188
10.981,1.001221,-0.05786133,-0.02563477,15.4212,0,-0.3662109,0.6103516,0.1220703,877.1501,16.05859,-1.132813,-0.4960938
11.012,0.9973145,-0.07910156,-0.02270508,15.59278,0,1.159668,0.5493164,0.1220703,877.1501,15.78125,-0.9882813,-0.1835938
11.041,1.001465,-0.07446289,-0.01074219,15.65362,0,1.220703,0.2441406,0.3051758,877.153,15.93359,-1.164063,-0.1914063
11.072,0.9916992,-0.07983398,-0.009277344,15.68021,0.1268603,0.4882813,-0.3662109,0.1831055,877.1599,15.94531,-1.277344,-0.2421875
11.101,0.9997559,-0.07080078,-0.004882813,15.57634,1.011721,-0.06103516,-0.4882813,0.06103516,877.1631,16.07422,-1.121094,-0.109375
11.132,1.000488,-0.08325195,-0.01904297,15.45936,0.1617088,-0.3051758,-0.4882813,0,877.1655,16.03906,-1.203125,-0.2109375
11.161,0.9978027,-0.08081055,-0.02392578,15.44984,-1.340472,-0.2441406,-0.793457,0.1831055,877.1678,15.97656,-1.226563,-0.2265625
11.192,0.9956055,-0.08349609,-0.02197266,15.34917,-2.21259,-0.3662109,-1.159668,0,877.1699,16.01563,-1.375,-0.3554688
11.221,1.002197,-0.07763672,-0.0222168,15.15625,-3.161222,-0.3051758,-1.098633,0.1220703,877.1722,15.96875,-1.175781,-0.3125
11.252,0.9919434,-0.07666016,-0.01953125,15.07619,-3.333631,0.06103516,-1.159668,0.2441406,877.1748,15.96484,-1.1875,-0.265625
11.281,0.9970703,-0.08178711,-0.02124023,15.03512,-3.282209,0.9155273,-0.793457,0.2441406,877.1778,15.86719,-1.25,-0.1210938
11.312,0.9970703,-0.08447266,-0.01049805,14.99913,-3.108601,0.8544922,-0.7324219,0.1831055,877.1814,16.21875,-1.355469,-0.140625
11.341,0.9987793,-0.07568359,-0.008056641,14.91229,-2.572687,0.1831055,-0.5493164,0.4272461,877.1813,15.88672,-1.402344,-0.1054688
11.372,0.9960938,-0.1018066,-0.03173828,14.79415,-2.221365,1.281738,-0.3662109,0.1220703,877.1802,15.88281,-1.507813,-0.2304688
11.401,1.005859,-0.1113281,-0.06445313,15.1242,-0.5520849,0,0,0.4882813,877.1815,15.8125,-1.980469,-0.6523438
